gene,logFC,logCPM,F,PValue,FDR
CBX6,1.12031899726548,4.51209657194236,27.0242777659665,8.2545378689615e-06,0.000718370009769158
AC245100.4,2.20239000612529,-1.97709818747326,25.8700897694337,8.30346933940136e-06,0.000718370009769158
PLVAP,2.72553319027969,5.81925750549587,26.9889522808737,8.3410160785969e-06,0.000718370009769158
XG,2.68265736464387,2.50396848550663,26.9361631433734,8.50915490314312e-06,0.00072464386063623
CDC14B,1.56626329301758,2.94373945346656,26.8593449572971,8.67282972461848e-06,0.00072464386063623
SHROOM1,1.13266339279824,2.47626069895164,26.8178503341712,8.78113504318091e-06,0.00072464386063623
SPATA2L,2.42029130276513,0.77290755270914,26.8200145923757,8.81853739239551e-06,0.00072464386063623
AC009506.2,-0.75453697942841,1.68213189139017,26.7514963646139,8.90342049191457e-06,0.00072464386063623
KIAA0895L,1.06497106111778,3.60319916411715,26.716829530892,9.04038197338848e-06,0.00072464386063623
PLEKHO2,1.90892315717501,3.89747632538462,26.6831272214799,9.13219339432979e-06,0.00072464386063623
FNDC1,3.76516565539806,5.22428311131695,26.683680146579,9.13285944465578e-06,0.00072464386063623
RAB31,1.8515432803454,4.28956452808727,26.677145463812,9.14726846577174e-06,0.00072464386063623
BAIAP2-DT,2.11749011964302,1.8874859543698,26.691533567376,9.15217928828648e-06,0.00072464386063623
TPBG,1.54222503589664,2.53425219320445,26.6720847765054,9.17203246477742e-06,0.00072464386063623
PLEKHG2,1.16910671807955,4.25780402020465,26.6671594057457,9.17349031798357e-06,0.00072464386063623
RTL5,1.4089918893964,1.98920129387494,26.6731284535609,9.17895914004387e-06,0.00072464386063623
MC1R,1.92707745144595,0.910808786412247,26.6674864894412,9.25320532508334e-06,0.00072464386063623
TIMP1,3.36375624209296,5.39949691915533,26.6224484310681,9.29753650705481e-06,0.00072464386063623
TAGLN,2.65606348917168,7.72926609700012,26.6186145170518,9.3059715542038e-06,0.00072464386063623
CDR2L,1.33636467512486,2.63131827424367,26.6063431978531,9.34877921000331e-06,0.00072464386063623
VAMP1,0.893524044881162,3.38835146515002,26.6034994634481,9.34946930880093e-06,0.00072464386063623
PTPRE,1.63948254916156,2.84680451160173,26.6051138200141,9.35246672790127e-06,0.00072464386063623
LINC02035,-1.14264127011284,4.45911695676208,26.5958067644343,9.36919279046047e-06,0.00072464386063623
MGAT5,1.13216307537947,3.59956554942815,26.5945484018128,9.37413967504431e-06,0.00072464386063623
PPP1R18,1.87800500246291,4.50212106258005,26.5665565241833,9.45206760045447e-06,0.000727120947885446
CCL13,4.74508471835034,1.23176571347341,26.0398745335393,9.53698874047094e-06,0.000727201390816532
SERPINH1,1.84960725380341,5.68339226916244,26.5192123420844,9.5849055697602e-06,0.000727201390816532
CKMT2-AS1,1.43865119788921,1.03803594925011,26.5123744840995,9.6710632050874e-06,0.000727201390816532
PTPRH,5.00125309824643,-1.20451682405149,25.0518541649157,9.70505860424909e-06,0.000727201390816532
FLNA,1.9204091875072,8.75004793182101,26.474805718853,9.71208706308029e-06,0.000727201390816532
ADAP2,1.91501084099329,2.13813925993468,26.4797088396138,9.72844669988672e-06,0.000727201390816532
RBP5,3.40399683434736,-0.031642624735148,25.9734707134079,9.81894671367221e-06,0.000728972492376384
KIFC2,1.23706746254764,2.35049745458496,26.3948028515995,9.95863262037798e-06,0.000728972492376384
VASP,1.41435805272623,4.65797395127064,26.3649061000894,1.00354132645113e-05,0.000728972492376384
FAM107B,1.88984569818451,3.82414205989507,26.3589784654558,1.00557294487343e-05,0.000728972492376384
XRN1,-0.781218635487037,4.87962772602924,26.3571427060612,1.00583264852226e-05,0.000728972492376384
CLIC1,2.3779252576314,5.6690767008351,26.3519565072664,1.00741971045755e-05,0.000728972492376384
RGL1,1.91829875306167,3.58044823627879,26.3533131449487,1.00743266793269e-05,0.000728972492376384
SPTAN1,1.0120355532038,7.00297449868651,26.3320620434051,1.01337844355581e-05,0.000728972492376384
TTC7A,1.77086487223774,3.8064332558452,26.3222496736223,1.01661463251834e-05,0.000728972492376384
CA12,6.21988466023336,1.19335170216123,24.7761370188422,1.03149700778351e-05,0.000736312301006541
TDO2,4.72968238029129,-0.0235873673816043,24.8602296725491,1.04521121763937e-05,0.000742756150938615
PNP,1.43035556100553,2.57389454836213,26.1839114301305,1.06040586243779e-05,0.000748129117386671
ADAM12,5.61745226550126,2.12467581459519,25.7116544145852,1.06221399262953e-05,0.000748129117386671
SDC3,0.866827405991551,4.53593436847863,26.1539168066981,1.06876387097716e-05,0.000749411551476775
COL14A1,3.49875272315559,5.97083846282977,26.0801097646026,1.09276761535953e-05,0.000755921315788018
NDRG1,1.25476841206022,6.31749348022954,26.0739138042284,1.09463736247308e-05,0.000755921315788018
HDC,3.55125559191899,1.60270354971125,26.0591066632723,1.09909536482949e-05,0.000755921315788018
KLHL4,2.52106468969104,0.0665855160132637,25.9676936958116,1.10765295290997e-05,0.000755921315788018
CD14,3.18810118327957,4.76985191683709,25.995277445769,1.12123698394393e-05,0.000755921315788018
ARHGEF17,0.926646785305344,5.48836969489164,25.9827875743988,1.12494510783559e-05,0.000755921315788018
STAT6,1.79740296529885,5.786983629079,25.9774778822338,1.12675783394306e-05,0.000755921315788018
CELSR1,3.46934906230135,0.563520164774019,25.7806890973983,1.12773102548523e-05,0.000755921315788018
MICAL1,1.831856271047,4.59378236306691,25.9666779605158,1.13049588492312e-05,0.000755921315788018
VGLL3,1.42718430923112,3.54649932589307,25.9597144143089,1.133023566459e-05,0.000755921315788018
NEDD1,-1.49173971426561,5.28558232919175,25.9306234646467,1.14269243597149e-05,0.000755921315788018
SEPTIN5,1.86183750306179,3.61479555800009,25.9246162066101,1.14519112163165e-05,0.000755921315788018
SLC22A18,2.54748017227998,1.85448335639254,25.9257894570266,1.15172439330342e-05,0.000755921315788018
