"",all_results,benchmark
lu_adc_GSE123902_GSM3516668_134041161820019,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134376303545252,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134376330323892,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134377525635812,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134377557351787,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134472832768942,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134472851713246,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134472852171502,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134530814855974,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_134531741805284,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134531742025588,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134539660650732,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134539660875693,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134539673267443,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134539692664676,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134540465916332,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134540466476782,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134540498189035,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134592125095155,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_134600596343525,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134936662297437,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134936677542171,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134936708208557,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134938051168092,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_135014240639859,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_135014267701989,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_135014286769581,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_135064452222371,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_135064452287286,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_135081900334507,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_135081913169819,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_135149156157285,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_135700004428011,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_155842550286685,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_155842577025765,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_155888870119669,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_155911430457718,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_155971413498587,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_155972633810724,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_156453523805924,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_156453523840347,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_156463307082588,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_156515919845734,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_156515919936300,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_156515920201525,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_156515920361261,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_156515935144156,TRUE,FALSE
