gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
NRARP,0.592521215398481,9.42648877364507,2.74677077162156,0.006322928499815,0.0813648163542086,-2.56380009946219
CBX2,0.612852760639175,8.37308908813803,2.72787849633415,0.00668868513610187,0.0836625632739545,-2.61220292215913
ZFHX2,-0.715482262402857,9.19369266304225,-2.72150524324162,0.00681631472421828,0.0846213430506585,-2.62845933381463
CMPK2,0.62446528425642,8.42402022625915,2.71650479093047,0.00691798689272659,0.0854651075307179,-2.64118861796309
ETS2,-0.65028956905064,9.50919498241972,-2.70921335509129,0.00706869326668284,0.086008602888853,-2.65970970795023
ANKRD42,-0.667111200257863,8.73055173693521,-2.70716371565177,0.00711158691541202,0.0860841817121142,-2.66490744330411
SLC6A10P,0.606415267370877,10.3819845369155,2.70464679634435,0.00716458044817678,0.0862903373811427,-2.67128501095124
SOX9,-0.610618969578436,8.62190671894085,-2.69807759283814,0.00730457544258971,0.0873242455173791,-2.68790379776377
MYO1D,-0.590390464032558,9.20248500521972,-2.67815366062916,0.00774437026386547,0.0905327791409626,-2.73807050699821
MT1H,0.64273996893652,8.91588652358873,2.6648282377298,0.00805166300334066,0.0926368839294121,-2.77142377626047
DACT2,-0.738942388773396,8.85233557092676,-2.66263625896605,0.00810324843096513,0.0930432280314375,-2.77689497199055
GULP1,-0.64263757385568,9.47816313774648,-2.65988438451132,0.00816843081044211,0.093243684184183,-2.78375755674363
KCNG1,0.679452826180052,9.17531766104789,2.64342941700184,0.00856811952685441,0.0962877648955978,-2.82465061768322
HIST1H2AG,0.589647823679331,9.41522756004789,2.63307503903748,0.00882854059397239,0.0973236777695774,-2.85025793218813
SLC8A1,0.596872774396701,9.93015471460563,2.62906489146105,0.00893129184032057,0.0976748022589582,-2.8601494667754
KLRG2,0.68447413535467,8.21307470012676,2.6256971739287,0.00901840942879861,0.0982281544918776,-2.86844518187655
CTCFL,0.951489936126624,9.0536949697831,2.62380802869252,0.0090676115637259,0.0985646832277783,-2.87309425148892
PAIP1,0.643257452538665,8.4098256023831,2.60654861811385,0.00952839147667727,0.101764622204954,-2.91541974866725
NKD1,-0.587473367301337,8.54586982144789,-2.60167021657015,0.00966237827589912,0.102723545805991,-2.92733446510714
PTGER2,-0.661335283481101,9.71017803814366,-2.60064729811419,0.00969068603584789,0.102742492460358,-2.92983005936229
CACNA1A,0.611483612737809,7.42625557766197,2.56243638029887,0.0108027462504733,0.110097045339134,-3.02237637481011
CINP,0.581325406671973,6.68258038438873,2.55431550282083,0.0110532780421416,0.111706298846844,-3.04187521721346
HAS1,-0.87126771427104,8.30296347652676,-2.53858161629,0.0115534676998957,0.114477250931692,-3.07948392173543
SYT7,0.588635654562807,8.50048425058028,2.53275791666057,0.0117436604217774,0.115351930770122,-3.09334757100817
DMD,-0.624812362670819,8.56353474783662,-2.47770457881028,0.0136840373843381,0.125128319295663,-3.22288881593808
MGLL,-0.636397649761422,9.41021048570141,-2.47433633212852,0.0138114962091257,0.12548052068025,-3.23072523046349
NCCRP1,0.608499181074012,8.29313487424507,2.46442974150197,0.014192496809475,0.127250627257793,-3.25371385291955
RAB26,0.622866519501828,8.98125153194085,2.45769209743043,0.0144569143854135,0.128300828387539,-3.26929796239248
