"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
72,NMT2,-3.48178016427545,5.01327140310744,-11.6600229818897,1.5172459302471e-21,2.39682711258757e-19,38.4411907734419
73,TFAP2A,4.66070675702206,9.47537838913223,11.6424447096285,1.67251508006738e-21,2.60591596173786e-19,38.3450136406164
74,CAMK1,-2.43808978171663,3.3178865026281,-11.5749276869034,2.43184350530907e-21,3.73780919316019e-19,37.9755117716755
75,MAOA,-4.95148399091629,5.00224515577686,-11.5177665622524,3.33897696767499e-21,5.06366987071138e-19,37.6625777591563
76,DOCK11,-4.35578941115951,5.61213473627273,-11.5106170331844,3.47405409567574e-21,5.19919622160735e-19,37.6234304707226
77,RNF150,-3.62040658970023,3.68410374120661,-11.452113698913,4.80610416862862e-21,7.09930244337427e-19,37.3030438591047
78,RAB25,4.22468620577715,7.59066291383471,11.4439175868173,5.02971997794583e-21,7.3343634652764e-19,37.2581517925268
79,L3HYPDH,-1.93189719606674,3.85208635540496,-11.4348786531861,5.28842414379327e-21,7.61399192550691e-19,37.2086414684424
80,SMIM3,-2.58988617977545,5.12345583029752,-11.4299348813534,5.43551126309806e-21,7.72793813830967e-19,37.1815613534842
81,TMEM220,-3.13473700940215,4.7240520813719,-11.4086692783353,6.11634350287339e-21,8.58855444465209e-19,37.0650697516959
82,GPC3,-3.46104626644853,3.98427121096694,-11.3856485933176,6.94989842344817e-21,9.64001764247556e-19,36.9389520848034
83,PRSS8,3.85329084826471,6.96018074800826,11.381250650864,7.12162975294859e-21,9.70620128539196e-19,36.9148568178734
84,XG,-3.27269770387613,3.94918434803306,-11.3800741257952,7.16828651286201e-21,9.70620128539196e-19,36.9084108478494
85,SLC38A1,4.16433062899887,9.60804650466116,11.369187248986,7.61479746647363e-21,1.01894948686672e-18,36.84876216022
86,TMEM161B-AS1,-1.69011245372568,2.75580171732231,-11.3611308771584,7.96304400346528e-21,1.05315886622575e-18,36.8046200240368
87,ESRP2,3.27629437029016,6.68462220408265,11.3409662833435,8.90616518383463e-21,1.16435313564293e-18,36.6941290154222
88,WISP2,-4.04175006896211,4.15457427080992,-11.3376942139666,9.06941376190036e-21,1.17222172872562e-18,36.6761990617547
89,CNRIP1,-3.20291722283145,5.63636220801653,-11.3302681845447,9.45110575038089e-21,1.20783007645879e-18,36.6355058552025
90,SLIT3,-2.39220229662387,5.2251285578595,-11.3280318622701,9.56916993537908e-21,1.20933043161113e-18,36.6232510243938
91,LARP6,-2.99648919424378,5.61613849353719,-11.2890558456939,1.18809238922321e-20,1.4849849269258e-18,36.4096506376237
92,GYPC,-2.36845828340781,5.42516849609917,-11.2601393917461,1.39501696395499e-20,1.7246655378287e-18,36.2511616483969
93,SLC16A7,-4.4078123616448,6.41133999259504,-11.2486271060954,1.48710658399021e-20,1.81874734261341e-18,36.1880596265301
94,ETFDH,-2.0880230106414,5.0398421995124,-11.2283366642313,1.66447088166362e-20,2.01400976681298e-18,36.0768368113619
95,ITGB1BP1,-2.59587551492987,7.9067266405124,-11.1758139422209,2.22821810760492e-20,2.66776344798931e-18,35.7889025126182
96,PAIP1,2.4909322078586,8.2102984281157,11.1624873699248,2.39940407013181e-20,2.84279394725826e-18,35.7158389268944
97,CD34,-1.46825286935181,3.20571272592562,-11.1344511640489,2.80371812089276e-20,3.28757627907569e-18,35.5621217695482
98,KRT8,3.9787416125758,10.1463786461488,11.1068295142992,3.26865810276846e-20,3.79364461845801e-18,35.4106686684395
99,AIFM2,-3.41571606963066,4.99452095591736,-11.1024330958513,3.34946839476725e-20,3.8481670224326e-18,35.3865617837274
100,IGFBP6,-3.7055487932172,5.52955459533884,-11.0856153496142,3.67747444517466e-20,4.18275943394165e-18,35.2943432512627
101,ZNF692,2.35728425089706,6.44572097884298,11.0777132879903,3.84250369212127e-20,4.3271917816027e-18,35.2510121109419
102,CAT,-2.44427055488349,10.5615723327273,-11.0718815638732,3.96902810840547e-20,4.42585546127488e-18,35.219033353027
103,EBF1,-4.58730363134672,6.62070099858678,-11.0615254034168,4.20407325390246e-20,4.64243972717346e-18,35.1622437343764
