"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
135,SYNM,-4.11976657422768,5.079392711236,-25.8109633127086,2.74890082037934e-117,2.59394426302314e-115,256.947455178337
136,LINC00842,-4.01439346512825,-4.21942400829012,-25.755567773008,6.90924802707527e-117,6.47183166300823e-115,255.461587755932
137,GABRE,-3.45102677818143,2.14099182683497,-25.752154484626,7.31284120482015e-117,6.79987475242364e-115,256.007043096474
138,MATN2,-3.34438777820859,4.78546718004511,-25.7292885851618,1.0696217712884e-116,9.87384909017607e-115,255.580949686567
139,GPC3,-3.63830834166539,3.89913067440977,-25.6809509163702,2.38890937167129e-116,2.18937528674248e-114,254.784207412263
140,RGN,-3.05774595785877,0.303651967796627,-25.6570428176802,3.55411851109312e-116,3.2339939794868e-114,254.434808861463
141,LHFPL6,-2.20016808506938,5.3103891657433,-25.6406977826947,4.66292717272565e-116,4.21283895413845e-114,254.103809877172
142,SOX7,-1.97207416772712,2.09870785101558,-25.5319547352444,2.83571695531716e-115,2.54395762632291e-113,252.384083569635
143,ALDH1A1,-2.81631317961785,4.44651456744293,-25.5190536861016,3.51245357966826e-115,3.12903119939818e-113,252.09424674854
144,ALX4,-3.61111261188612,0.32417879479597,-25.4167447577372,1.91522117350567e-114,1.69430573120061e-112,250.476335286941
145,CNTFR,-3.91192452091216,1.19515983207779,-25.385562769325,3.21032520066519e-114,2.82043674008785e-112,249.955478505418
146,F8,-1.73158141176815,4.39121908532285,-25.3660357401005,4.43597151404723e-114,3.87053706283888e-112,249.571322578608
147,CD34,-2.09517907173743,6.28186204294432,-25.2533699908985,2.86187898629786e-113,2.48010043581282e-111,247.701483109558
148,TPM3,1.18408263037225,9.06162830008743,25.234366756707,3.91839761261898e-113,3.37273426940225e-111,247.387500257968
149,ADCY4,-1.98847138371963,3.36195672708927,-25.2334776445607,3.97641970275544e-113,3.39970540895313e-111,247.414619938348
150,EOGT,-1.44265360366576,4.61546253610957,-25.2047621017354,6.39188949838819e-113,5.42841868799781e-111,246.907974188419
151,PLEKHM3,-1.66864056431182,3.86107209596262,-25.1865685566581,8.63368158071225e-113,7.2837397123638e-111,246.628295213032
152,RHOJ,-1.8174790202003,3.87397078208645,-25.1631673696969,1.27084652922669e-112,1.06508644314598e-110,246.239407153869
153,COX7A1,-2.36551097658473,2.63764798759934,-25.0546737698298,7.61859136532789e-112,6.34334871914457e-110,244.487240034852
154,MT1M,-2.8643024224142,0.364391451384547,-25.0516102201429,8.01349306149559e-112,6.62882390327223e-110,244.445159673323
155,C8orf88,-2.58808974967163,-1.56821464097869,-24.9981462618002,1.93509006512278e-111,1.59039434449026e-109,243.325702481938
156,BMP2,-2.61445660557145,0.821115717195327,-24.9692975777014,3.11309957821994e-111,2.54216509788101e-109,243.103702919011
157,FABP4,-6.17262631331866,4.1543991626165,-24.9323966485783,5.71756902111602e-111,4.63924278726095e-109,242.451462082564
158,CSRNP3,-2.6685390892306,1.36106264560854,-24.9066203429618,8.74102359887416e-111,7.04758858392772e-109,242.081068637444
