"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
3447,APOL4,-0.869096616197096,3.416753742568,-6.99710622233301,4.3269754975045e-12,1.09155487907028e-11,16.1484298731336
3448,C3orf52,1.21038060864972,3.56218841089604,6.99608857995273,4.35726700832602e-12,1.09896246874532e-11,16.3815978572101
3449,IRX4,-1.72609180237372,0.0390331868304965,-6.99536236115948,4.37901107239083e-12,1.10421158111851e-11,16.5133599755759
3450,MACROD2,-0.767008328907146,2.38382965443284,-6.99446686921365,4.40597010485001e-12,1.11077318664612e-11,16.2992222310401
3451,KIFC3,-0.631329485918968,4.07716145967013,-6.99283700546589,4.45545631566928e-12,1.12301003795714e-11,16.0589695266834
3452,FUT8,0.695165315146937,6.11879325865872,6.9886614924047,4.58473657138603e-12,1.15510405346275e-11,15.9398739253186
3453,SIX2,1.63090131602858,2.05873854384461,6.98725719072523,4.62903777504601e-12,1.16552206962431e-11,16.5133240694119
3454,DNMBP,-0.677306981030941,5.00052847525082,-6.98313703439127,4.76145430919369e-12,1.19784441846361e-11,15.9022680867488
3455,PKIB,1.38844019079943,4.94872205548458,6.98299332469867,4.76613943126607e-12,1.19876854428087e-11,16.1121151790893
3456,FSIP2,-1.20386723182198,0.444780683000451,-6.97839581630818,4.91843541766573e-12,1.23602420496121e-11,16.3962644043322
3457,PRELID3A,0.713566224735989,1.88086150475565,6.97392628118727,5.07106682429485e-12,1.27357080968779e-11,16.3778489012155
3458,SERPINE1,1.00292550489965,5.78003422615022,6.97312288705148,5.09899079720911e-12,1.28004114313836e-11,15.8874066652918
3459,ATP2A3,1.00822744277915,6.1883622541438,6.97086866837784,5.17815005669543e-12,1.29908744488215e-11,15.8362899300515
3460,GPNMB,-0.753848522429884,7.90365991253249,-6.96901502049812,5.2441454362123e-12,1.31536577632683e-11,15.7938587334975
3461,PLIN5,-1.36799886448913,2.06046256235999,-6.9680803549896,5.27773465592133e-12,1.32323059538747e-11,16.0924050005484
3462,PPP2R3A,-0.580747254670779,4.89142545969499,-6.95995012843628,5.57895930095903e-12,1.39816177574162e-11,15.7606905215947
3463,CEACAM5,3.58228070852667,1.97990450121327,6.95530381173091,5.75861523532069e-12,1.44257572776564e-11,16.4016799634075
3464,SMOC2,-0.922073890506036,6.37709521535206,-6.94989972994344,5.97472057463448e-12,1.49481554241647e-11,15.6347549258103
3465,MIRLET7BHG,-0.834783293567007,1.4082218839286,-6.9474416986858,6.07562975739227e-12,1.51942036714523e-11,16.1159043849703
3466,SPTLC3,-0.761420561527572,3.87760834658866,-6.94342866107622,6.24398161143682e-12,1.56119303890937e-11,15.7402578107942
3467,NAA38,0.588600943714382,4.96344763348432,6.94103286010711,6.3466617154494e-12,1.58653153304557e-11,15.7247076626557
3468,RND1,1.3367480334098,3.73826092308174,6.93894099308668,6.43766932758765e-12,1.60860278073779e-11,15.9842664369249
3469,MIA,-1.13443046072929,-4.65286818907741,-6.92675109071427,6.99403441776029e-12,1.74504766932074e-11,16.338354475061
3470,PHLDA2,1.14256190681673,2.68693891532789,6.92185935129953,7.2303320447938e-12,1.80248694295733e-11,15.9887794171484
3471,MBLAC1,0.704120616041525,0.746172787600094,6.91385133713128,7.63417557081244e-12,1.90116322695579e-11,16.0663724294215
3472,ARPC1B,0.584134104579873,-0.241046910876138,6.91289341805459,7.68394102738045e-12,1.91315438607756e-11,16.1110566889889
3473,GABRB3,-1.5786193421754,0.620244315347771,-6.90915676868458,7.88112646047055e-12,1.96060187760058e-11,15.8826528189353
3474,ISG20,0.860547043627668,4.20710932852198,6.90149495581769,8.30109773004371e-12,2.06118413669925e-11,15.6084055195254
3475,LMTK3,1.26569503659905,3.18453052942583,6.89154378943213,8.87946494541509e-12,2.20156476539492e-11,15.7445719607382
3476,SPSB2,0.682788868607714,3.14194848860316,6.88698862053732,9.1572307124262e-12,2.26853495110889e-11,15.6501334367562
3477,SYT7,0.859690626702176,6.53089212160208,6.88007787897128,9.59498417456258e-12,2.37400224440159e-11,15.1998426775219
3478,TREM2,0.835694682105145,4.05351075614124,6.87779385892875,9.7441268755858e-12,2.40989687641027e-11,15.473570739258
3479,ASPN,1.42862274236491,5.96228003558086,6.87269318223829,1.00854501778038e-11,2.49243720095255e-11,15.2373948632059
3480,GPR160,0.971293935158183,5.38583656394314,6.86995716248433,1.02733416650954e-11,2.53760319761759e-11,15.2439219467941
3481,CYP27B1,1.03437215226474,1.48123947638727,6.85728315406767,1.11894627964392e-11,2.75871711766558e-11,15.6612084539756
3482,DCD,-2.3413108023348,-3.25167376863857,-6.85293763890134,1.15216536635423e-11,2.83884537865071e-11,15.7511121943189
3483,EPPK1,1.18659411194927,5.14703338866622,6.84435388729472,1.22065049400785e-11,3.00446358610284e-11,15.1362885345222
3484,GUCY1A2,-0.849876684375197,3.54206179015855,-6.84112647629837,1.24741988078846e-11,3.06907769257941e-11,15.0933496924532
3485,NUSAP1,0.760616003108596,-3.1087036538609,6.83995540358848,1.25727487368901e-11,3.09204026117498e-11,15.7664805506491
3486,CHTF8,-0.66181808526726,-1.39597561169436,-6.83863047727924,1.26851667767794e-11,3.11904007341895e-11,15.6289041486433
3487,NRARP,0.641805103281313,3.84378688096527,6.83153191876617,1.3304466054586e-11,3.26995681976331e-11,15.1694046288383
3488,DHCR24,0.721406938811589,9.28237750792086,6.8314132744852,1.33150648459747e-11,3.2718831057643e-11,14.8873241408769
3489,SMIM1,0.930127248120209,1.08134313449007,6.829546761977,1.34828989583646e-11,3.31175103146066e-11,15.5015626211042
3490,IL18,0.865697887268569,3.16561506354817,6.81971356909794,1.4401926373062e-11,3.53163132438765e-11,15.2233649625898
3491,CENPW,0.988871074102374,2.98905340775001,6.81764906301503,1.46025405567184e-11,3.57934429161268e-11,15.2487565947369
3492,PHLDA3,-0.703162718566254,5.49234235101618,-6.8159401888916,1.47706676301553e-11,3.61980642708811e-11,14.7641702883742
3493,ANXA9,1.15240569303924,4.8919321352668,6.81396144054837,1.49677185053099e-11,3.66733863873897e-11,14.9619503730748
3494,FAM174B,0.768970347240972,6.05510010011097,6.80942972416828,1.54287658625652e-11,3.77717865094079e-11,14.7618064129759
3495,GPT2,-0.77091678060665,5.38137835613639,-6.8088192414646,1.54919298286667e-11,3.79185863540327e-11,14.7197360253397
3496,LSM1,0.638522636566623,3.72021723336255,6.80869911694113,1.55043884067516e-11,3.79412429226765e-11,15.0365743353784
3497,PDPN,-0.769111370867416,4.43094897710765,-6.80432563375301,1.59647304748728e-11,3.90355120505093e-11,14.7611003421939
3498,FAAH,0.723216472814509,5.05023112756889,6.80386785246146,1.60136832715178e-11,3.91471287568011e-11,14.8224290783449
3499,DPM3,0.693356423804249,4.33600343879587,6.80294038650124,1.61133133323124e-11,3.93744379613467e-11,14.9130042404993
3500,SYNC,-0.734467701076831,1.78572421424417,-6.79978596316638,1.64567371666008e-11,4.01639296986722e-11,15.0956887768223
3501,LINC01515,-0.876442535631444,1.69258907931609,-6.79865767674674,1.65813086073098e-11,4.0459622258652e-11,15.094707700558
3502,DECR2,0.647700654685637,4.21407552793039,6.79668976903618,1.68007968785653e-11,4.0978312518345e-11,14.8835776860808
3503,RASEF,1.03500033218856,5.86965660842066,6.79442558926799,1.70568550633114e-11,4.15857357294602e-11,14.7046328219466
3504,BDH1,0.6407675680468,5.0592224389736,6.78972405700219,1.76008378148626e-11,4.28590890399316e-11,14.7202643984292
3505,CADM4,0.682342007712395,5.33511619024277,6.77920711259076,1.88800018288913e-11,4.59267381791282e-11,14.6259842458784
3506,TRIM6,-0.678169068783122,2.43979749568141,-6.77877586683947,1.89343544121361e-11,4.60495002933909e-11,14.8750125493814
3507,HPN,1.81068519147802,4.55275829099571,6.77675327072908,1.91913285607349e-11,4.66361878827211e-11,14.8599094957171
3508,ADGRG6,-1.03994537376948,3.43367719544829,-6.77319934509276,1.96511676229757e-11,4.77047091097396e-11,14.6464525864338
3509,MPZL2,-0.781328802035701,4.80865532369028,-6.77264942738563,1.9723279310717e-11,4.78601549360405e-11,14.5195482870154
3510,COL8A1,0.99827230620679,6.37104697088023,6.77065882418275,1.99864862698331e-11,4.8488918061272e-11,14.4969363157083
3511,LILRB4,0.870221075252411,4.26221855800782,6.76919715060912,2.01819451101583e-11,4.89330606937315e-11,14.7249382763502
3512,ABHD3,0.610346569661191,4.72332236126763,6.7673698968294,2.04289273393744e-11,4.95116301992734e-11,14.6133551358388
3513,LRMDA,-0.630147471860701,2.16617020051532,-6.76286270601541,2.10508833632584e-11,5.09668812773292e-11,14.8174920989767
3514,ESPN,1.57750392709815,3.80338245791654,6.76277535729477,2.10631182990391e-11,5.09860855414331e-11,14.8548928428734
3515,ZNF165,0.645267058732661,2.53780242473883,6.75837219494333,2.1688985004489e-11,5.24796371897469e-11,14.8836151232145
3516,EGLN3,1.11171462355685,4.97498496336789,6.75689886496145,2.19024471495085e-11,5.29853197783844e-11,14.573848408038
3517,RBL1,0.58687439759897,4.14337192798215,6.75238294782304,2.25696429161825e-11,5.45882218644308e-11,14.5962909399505
3518,DTNA,-0.936122399830486,3.99645516080939,-6.74637360324688,2.34884566699481e-11,5.67641695048369e-11,14.4115517316433
3519,CCDC28B,0.675163872969134,2.26256491164167,6.74483033151646,2.37302749982871e-11,5.73368736653149e-11,14.8292439273585
3520,GSTA4,-0.621552645828702,4.280259594898,-6.72875148401744,2.63994160761091e-11,6.36044491837774e-11,14.2942764689772
3521,UBE4A,-0.636272746683708,5.24372905859257,-6.72870772600016,2.64070670348585e-11,6.36099486269644e-11,14.2089512982793
