full_group,type,cluster,mean_score,rest_mean_score,diff,group.x,method.x,type_sub.x,estimate,statistic,p.value,conf.low,conf.high,method.y,alternative,null.value,screen_method,bulk,type_pheno,group.y,ssGSEA type,type_sub.y,neg_log10_p,label,tumor_type
pos | DEGAS | Positive vs Rest,pos_marker_score,DEGAS_Positive,0.226075749364318,0.271305493423068,0.83328850629567,Positive vs Rest,DEGAS,pos,-0.0126947426933904,53979480,7.24410579524526e-99,-0.0139851276271952,-0.0114249377184917,Wilcoxon rank sum test with continuity correction,two.sided,0,DEGAS,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,98.1400152157357,***,TNBC
pos | LP_SGL | Positive vs Rest,pos_marker_score,LP_SGL_Positive,0.331327527024812,0.262305585894367,1.26313561297258,Positive vs Rest,LP_SGL,pos,0.0257197624932839,173922302,0,0.0244538336203139,0.0269813610247641,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,300,***,TNBC
pos | scAB | Positive vs Rest,pos_marker_score,scAB_Positive,0.293559889493351,0.268012340951029,1.09532228423388,Positive vs Rest,scAB,pos,0.00920905631049278,66075727,8.4964892103045e-30,0.00761834046102404,0.0107934332901897,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,29.0707604897632,***,TNBC
pos | SCIPAC | Positive vs Rest,pos_marker_score,SCIPAC_Positive,0.294650358725865,0.266789764660476,1.10442902148381,Positive vs Rest,SCIPAC,pos,0.00969067448283818,126641435,2.44114677460324e-54,0.00844703661263454,0.0109179235085704,Wilcoxon rank sum test with continuity correction,two.sided,0,SCIPAC,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,53.6124061077258,***,TNBC
pos | scissor | Positive vs Rest,pos_marker_score,scissor_Positive,0.334872384694757,0.264426244283729,1.26641130346896,Positive vs Rest,scissor,pos,0.0252625104004978,121244437,1.59399521896032e-233,0.0238010720026028,0.0267307366477481,Wilcoxon rank sum test with continuity correction,two.sided,0,scissor,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,232.797512985564,***,TNBC
pos | scPAS | Positive vs Rest,pos_marker_score,scPAS_Positive,0.336907276864959,0.265933200592604,1.26688685773043,Positive vs Rest,scPAS,pos,0.0287248964497806,88515143,1.03172484584913e-258,0.0272844580361203,0.0302096710659088,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,257.986436110715,***,TNBC
pos | scPP | Positive vs Rest,pos_marker_score,scPP_Positive,0.342664340238342,0.262811727973436,1.30383960746598,Positive vs Rest,scPP,pos,0.0285098692535312,146962014,0,0.0271716515368811,0.0298630282667806,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,GSE42568,survival,Positive vs Rest,pos_ssGSEA,pos,300,***,TNBC
neg | DEGAS | Positive vs Rest,neg_marker_score,DEGAS_Positive,0.245686555431151,0.201130061304068,1.22153075397179,Positive vs Rest,DEGAS,neg,0.0299405870124805,87810390,9.80187304556262e-98,0.027058314645159,0.0328759248049891,Wilcoxon rank sum test with continuity correction,two.sided,0,DEGAS,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,97.0086909267947,***,TNBC
neg | LP_SGL | Positive vs Rest,neg_marker_score,LP_SGL_Positive,0.17903006292798,0.204943948432649,0.873556229872357,Positive vs Rest,LP_SGL,neg,-0.0125734220241556,74744277,8.60232716831713e-36,-0.0145758961958905,-0.0105703067210738,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,35.0653840441473,***,TNBC
neg | scAB | Positive vs Rest,neg_marker_score,scAB_Positive,0.170996814717101,0.205539575794995,0.83194107050047,Positive vs Rest,scAB,neg,-0.0197560171965718,70190358,4.61181795848361e-91,-0.0216978620698271,-0.017813459885909,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,90.3361278438722,***,TNBC
neg | scissor | Positive vs Rest,neg_marker_score,scissor_Positive,0.127526623183895,0.203600505108353,0.626357106118312,Positive vs Rest,scissor,neg,-0.0465817339264431,2040721,1.41719581326169e-38,-0.0544835589724855,-0.0391222510319267,Wilcoxon rank sum test with continuity correction,two.sided,0,scissor,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,37.8485701393476,***,TNBC
neg | scPAS | Positive vs Rest,neg_marker_score,scPAS_Positive,0.173307830021844,0.203422766629455,0.85195886819066,Positive vs Rest,scPAS,neg,-0.0184917904580505,2578266,0.000331046411244801,-0.0289013140588498,-0.00845944983910409,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,3.48011111578758,***,TNBC
neg | scPP | Positive vs Rest,neg_marker_score,scPP_Positive,0.165086056254357,0.206823285604347,0.798198596313602,Positive vs Rest,scPP,neg,-0.0254552721653873,82886402,3.52409476634241e-201,-0.0271480687307725,-0.0237642836520085,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,TCGA_BRCA,survival,Positive vs Rest,neg_ssGSEA,neg,200.452952421501,***,TNBC
